surface	lemma	feats	source
achingly	aching	LY	promoted
achings	aching	PL	lexicon
achiras	achira	PL	lexicon
achived	achive	PAST	promoted
achlorhydrias	achlorhydria	PL	lexicon
acholias	acholia	PL	lexicon
achondrites	achondrite	PL	lexicon
achondroplasias	achondroplasia	PL	lexicon
achromatins	achromatin	PL	lexicon
achromatising	achromatise	ING	lexicon
achromatised	achromatise	PAST	lexicon
achromatised	achromatise	PPART	lexicon
achromatises	achromatise	TSG	lexicon
achromatisms	achromatism	PL	lexicon
achromatizing	achromatize	ING	lexicon
achromatized	achromatize	PAST	lexicon
achromatized	achromatize	PPART	lexicon
achromatizes	achromatize	TSG	lexicon
achier	achy	ER	lexicon
achiest	achy	EST	lexicon
aciculas	acicula	PL	lexicon
acider	acid	ER	lexicon
acidest	acid	EST	lexicon
acids	acid	PL	lexicon
acidemias	acidemia	PL	lexicon
acidifications	acidification	PL	lexicon
acidifying	acidify	ING	lexicon
acidified	acidify	PAST	lexicon
acidified	acidify	PPART	lexicon
acidifies	acidify	TSG	lexicon
acidimetries	acidimetry	PL	lexicon
acidities	acidity	PL	lexicon
acidophils	acidophil	PL	lexicon
acidophiles	acidophile	PL	lexicon
acidoses	acidosis	PL	lexicon
acidulating	acidulate	ING	lexicon
acidulated	acidulate	PAST	lexicon
acidulated	acidulate	PPART	lexicon
acidulates	acidulate	TSG	lexicon
acini	acinus	PL	lexicon
acked	ack	PAST	promoted
acks	ack	PL	promoted
ackees	ackee	PL	lexicon
ackers	acker	PL	promoted
acknowledging	acknowledge	ING	lexicon
acknowledged	acknowledge	PAST	lexicon
acknowledged	acknowledge	PPART	lexicon
acknowledges	acknowledge	TSG	lexicon
acknowledgements	acknowledgement	PL	lexicon
acknowledgments	acknowledgment	PL	lexicon
acknowleges	acknowlege	PL	promoted
acmes	acme	PL	lexicon
acnes	acne	PL	lexicon
acos	aco	PL	promoted
acolytes	acolyte	PL	lexicon
aconites	aconite	PL	lexicon
acording	acord	ING	promoted
acorns	acorn	PL	lexicon
acounts	acount	PL	promoted
acoustics	acoustic	PL	lexicon
acousticians	acoustician	PL	lexicon
acps	acp	PL	promoted
acquainting	acquaint	ING	lexicon
acquainted	acquaint	PAST	lexicon
acquainted	acquaint	PPART	lexicon
acquaints	acquaint	TSG	lexicon
acquaintances	acquaintance	PL	lexicon
acquaintanceships	acquaintanceship	PL	lexicon
acquis	acqui	PL	promoted
acquiescing	acquiesce	ING	lexicon
acquiesced	acquiesce	PAST	lexicon
acquiesced	acquiesce	PPART	lexicon
acquiesces	acquiesce	TSG	lexicon
acquiescences	acquiescence	PL	lexicon
acquiring	acquire	ING	lexicon
acquired	acquire	PAST	lexicon
acquired	acquire	PPART	lexicon
acquires	acquire	TSG	lexicon
acquirements	acquirement	PL	lexicon
acquirers	acquirer	PL	lexicon
acquisitions	acquisition	PL	lexicon
acquisitivenesses	acquisitiveness	PL	lexicon
acquistions	acquistion	PL	promoted
acquitting	acquit	ING	lexicon
acquitted	acquit	PAST	lexicon
acquitted	acquit	PPART	lexicon
acquits	acquit	TSG	lexicon
acquited	acquite	PAST	promoted
acquittals	acquittal	PL	lexicon
acquittances	acquittance	PL	lexicon
acred	acre	PAST	promoted
acres	acre	PL	lexicon
acreages	acreage	PL	lexicon
acrider	acrid	ER	lexicon
acridest	acrid	EST	lexicon
acridities	acridity	PL	lexicon
acridnesses	acridness	PL	lexicon
acrimoniousnesses	acrimoniousness	PL	lexicon
acrimonies	acrimony	PL	lexicon
acros	acro	PL	promoted
acrobats	acrobat	PL	lexicon
acrocephalies	acrocephaly	PL	lexicon
acrodonts	acrodont	PL	lexicon
acrogens	acrogen	PL	lexicon
acroleins	acrolein	PL	lexicon
acromegalies	acromegaly	PL	lexicon
acromions	acromion	PL	lexicon
acronyms	acronym	PL	lexicon
acrophobias	acrophobia	PL	lexicon
acropolises	acropolis	PL	lexicon
acrosomes	acrosome	PL	lexicon
acrossed	acrosse	PAST	promoted
acrostics	acrostic	PL	lexicon
acrylated	acrylate	PAST	promoted
acrylates	acrylate	PL	lexicon
acrylics	acrylic	PL	lexicon
acrylonitriles	acrylonitrile	PL	lexicon
action	act	ACTION	derivation
actions	act	ACTION+PL	derivation
acter	act	ER	promoted
acting	act	ING	agid
actly	act	LY	promoted
acted	act	PAST	agid
actes	act	PL	promoted
acted	act	PPART	agid
acts	act	TSG	agid
actas	acta	PL	promoted
actins	actin	PL	lexicon
actinias	actinia	PL	lexicon
actinians	actinian	PL	lexicon
actinisms	actinism	PL	lexicon
actiniums	actinium	PL	lexicon
actinolites	actinolite	PL	lexicon
actinometers	actinometer	PL	lexicon
actinometries	actinometry	PL	lexicon
actinomycetes	actinomycete	PL	lexicon
actinomycins	actinomycin	PL	lexicon
actinomycoses	actinomycosis	PL	lexicon
actios	actio	PL	promoted
actioner	actione	ER	promoted
actioning	actione	ING	promoted
actioned	actione	PAST	promoted
actiones	actione	PL	promoted
activly	activ	LY	promoted
activating	activate	ING	lexicon
activated	activate	PAST	lexicon
activated	activate	PPART	lexicon
activates	activate	TSG	lexicon
activations	activation	PL	lexicon
activators	activator	PL	lexicon
actively	active	LY	promoted
actived	active	PAST	promoted
actives	active	PL	lexicon
activenesses	activeness	PL	lexicon
activisms	activism	PL	lexicon
activists	activist	PL	agid
activites	activit	PL	promoted
activities	activity	PL	lexicon
actomyosins	actomyosin	PL	lexicon
actorly	actor	LY	promoted
actors	actor	PL	agid
actresses	actress	PL	lexicon
actuals	actual	PL	lexicon
actualisations	actualisation	PL	lexicon
actualising	actualise	ING	promoted
actualises	actualise	PL	promoted
actualities	actuality	PL	lexicon
actualizations	actualization	PL	lexicon
actualizing	actualize	ING	lexicon
actualized	actualize	PAST	lexicon
actualized	actualize	PPART	lexicon
actualizes	actualize	TSG	lexicon
actuaries	actuary	PL	lexicon
actuating	actuate	ING	lexicon
actuated	actuate	PAST	lexicon
actuated	actuate	PPART	lexicon
actuates	actuate	TSG	lexicon
actuations	actuation	PL	lexicon
actuators	actuator	PL	lexicon
acuerdos	acuerdo	PL	promoted
acuities	acuity	PL	lexicon
aculei	aculeus	PL	lexicon
acumens	acumen	PL	lexicon
acuminating	acuminate	ING	lexicon
acuminated	acuminate	PAST	lexicon
acuminated	acuminate	PPART	lexicon
acuminates	acuminate	TSG	lexicon
acupressures	acupressure	PL	lexicon
acupuncturing	acupuncture	ING	lexicon
acupunctured	acupuncture	PAST	lexicon
acupunctures	acupuncture	PL	lexicon
acupunctured	acupuncture	PPART	lexicon
acupunctures	acupuncture	TSG	lexicon
acupuncturists	acupuncturist	PL	lexicon
acurately	acurate	LY	promoted
acutally	acutal	LY	promoted
acuter	acute	ER	lexicon
acutest	acute	EST	lexicon
acutely	acute	LY	promoted
acutes	acute	PL	lexicon
acutenesses	acuteness	PL	lexicon
acyclovirs	acyclovir	PL	lexicon
ads	ad	PL	lexicon
adas	ada	PL	promoted
adages	adage	PL	lexicon
adagios	adagio	PL	lexicon
adams	adam	PL	promoted
adamas	adama	PL	promoted
adamances	adamance	PL	lexicon
adamantly	adamant	LY	promoted
adamants	adamant	PL	lexicon
adapting	adapt	ING	lexicon
adapted	adapt	PAST	lexicon
adapted	adapt	PPART	lexicon
adapts	adapt	TSG	lexicon
adaptabilities	adaptability	PL	lexicon
